FID,area,perimeter,distance
748223,1286.541688,146.2276389,84228.78716
748224,113.4651035,43.75128692,84724.37165
748225,640.9796551,97.97451332,84743.04261
748226,13079.25063,620.4721348,85026.34404
748227,77343.51117,2431.226134,84737.97622
748228,241.1689958,76.54893665,85885.87139
748229,240.5923431,74.13346457,85777.09611
748230,215.2380608,73.66103212,85286.59324
748231,4637.125874,298.5650559,85318.81295
748232,3147.768549,353.9493102,85398.50873
748233,318.4633875,91.08495173,85432.41909
748234,152.1913577,50.78660125,85422.74994
748235,7870.868982,411.6086531,84735.49149
748236,40359.65669,1552.203844,84771.06579
748237,461.5930978,109.2136746,84954.47917
748238,151.6220542,48.08543717,84902.00586
748239,1487.028252,182.6320502,84528.88588
748240,8081.311919,362.18278,84416.33933
748241,2098.747517,179.6782356,84400.49691
748242,5005.217472,291.595521,84323.6916
748243,2722.175441,202.4198373,84216.8222
748244,115123.4203,3162.361702,83883.24368
748245,834.1419005,110.322799,83882.33211
748246,109.3153055,40.58270384,83648.20897
748247,7938.676034,528.8833006,83645.18377
748248,905.5263809,139.1936821,83503.98044
748249,93.82577379,42.56546047,83502.73283
748250,1118.962922,164.7908132,83462.0619
748251,121.2240715,48.60195996,83440.45629
748252,128.3029556,50.12076775,83709.30954
748253,1004.381535,137.8806635,83501.86133
748254,51695.12015,1753.153948,83128.15736
748255,338.0780651,74.93865812,83513.86551
748256,61.04787269,37.45386347,83279.02521
748257,1453.552102,151.9430474,83212.83137
748258,1071.885474,132.4913235,83033.27344
748259,204.8677425,65.55999876,83160.91686
748260,1523.971292,168.0416275,83088.12868
748261,1091.989289,150.8550433,83016.73848
748262,3776.306982,312.4968056,82833.99633
748263,162.4251379,67.43549293,82839.50867
748264,4229.836881,311.8265688,82824.68412
748265,534.3387158,87.77607439,83089.32863
748266,435.0898245,91.60936104,82752.61642
748267,522.5756745,93.3717037,85630.70273
748268,2290.859536,178.7929976,85680.32797
748269,8051.718439,565.9014896,85730.8051
748270,449.8708669,104.4689154,85870.97703
748271,5974.156454,370.6810545,86297.37303
748272,2243.993098,262.7870223,86515.35861
748273,1779.916145,168.9523959,83925.71449
748274,30553.6893,1379.729038,83249.38568
748275,5530.773233,386.3049845,82839.27899
748276,1826.807406,226.1993197,79435.77245
748277,714.6379481,117.6749128,80340.95185
748278,3800.227659,305.4968225,77457.77898
748279,1801.387845,198.0019892,77400.03366
748280,998.9684683,142.3832882,77016.80609
748281,846.5403143,113.7430759,77213.5324
748282,16148.32813,646.377036,76834.98693
748283,6738.7101,393.4311792,76710.59965
748284,9527.369795,534.4446738,76507.04463
748285,879.4399021,177.9214983,76730.12002
748286,2630.977903,277.5016606,76452.98416
748287,158.2519059,78.71247381,76332.06821
748288,2576.940333,253.7693447,76799.70981
748289,19688.10201,896.9981228,74394.26938
748290,15750.94043,720.1651079,76002.82179
748291,4938.87219,328.307156,76080.05569
748292,636.0660661,111.5108993,76111.37427
748293,257.0521786,68.16134787,73196.11418
748294,118.4451184,47.2643473,73224.69077
748295,114.8534444,53.08439738,73193.03231
